id,framework,domain,sub_domain,control
ISO27001:2022-A.5.1,ISO27001:2022,5 Organizational controls,Policies for information security,"Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur."
ISO27001:2022-A.5.2,ISO27001:2022,5 Organizational controls,Information security roles and responsibilities,Information security roles and responsibilities shall be defined and allocated according to the organization needs.
ISO27001:2022-A.5.3,ISO27001:2022,5 Organizational controls,Segregation of duties,Conflicting duties and conflicting areas of responsibility shall be segregated.
ISO27001:2022-A.5.4,ISO27001:2022,5 Organizational controls,Management responsibilities,"Management shall require all personnel to apply information security in accordance with the established information security policy, topic-specific policies and procedures of the organization."
ISO27001:2022-A.5.5,ISO27001:2022,5 Organizational controls,Contact with authorities,The organization shall establish and maintain contact with relevant authorities.
ISO27001:2022-A.5.6,ISO27001:2022,5 Organizational controls,Contact with special interest groups,The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.
ISO27001:2022-A.5.7,ISO27001:2022,5 Organizational controls,Threat intelligence,Information relating to information security threats shall be collected and analysed to produce threat intelligence.
ISO27001:2022-A.5.8,ISO27001:2022,5 Organizational controls,Information security in project management,Information security shall be integrated into project management.
ISO27001:2022-A.5.9,ISO27001:2022,5 Organizational controls,Inventory of information and other associated assets,"An inventory of information and other associated assets, including owners, shall be developed and maintained."
ISO27001:2022-A.5.10,ISO27001:2022,5 Organizational controls,Acceptable use of information and other associated assets,"Rules for the acceptable use and procedures for handling information and other associated assets shall be identified, documented and implemented."
ISO27001:2022-A.5.11,ISO27001:2022,5 Organizational controls,Return of assets,"Personnel and other interested parties as appropriate shall return all the organization’s assets in their possession upon change or termination of their employment, contract or agreement."
ISO27001:2022-A.5.12,ISO27001:2022,5 Organizational controls,Classification of information,"Information shall be classified according to the information security needs of the organization based on confidentiality, integrity, availability and relevant interested party requirements."
ISO27001:2022-A.5.13,ISO27001:2022,5 Organizational controls,Labelling of information,An appropriate set of procedures for information labelling shall be developed and implemented in accordance with the information classification scheme adopted by the organization.
ISO27001:2022-A.5.14,ISO27001:2022,5 Organizational controls,Information transfer,"Information transfer rules, procedures, or agreements shall be in place for all types of transfer facilities within the organization and between the organization and other parties."
ISO27001:2022-A.5.15,ISO27001:2022,5 Organizational controls,Access control,Rules to control physical and logical access to information and other associated assets shall be established and implemented based on business and information security requirements.
ISO27001:2022-A.5.16,ISO27001:2022,5 Organizational controls,Identity management,The full life cycle of identities shall be managed.
ISO27001:2022-A.5.17,ISO27001:2022,5 Organizational controls,Authentication information,"Allocation and management of authentication information shall be controlled by a management process, including advising personnel on appropriate handling of authentication information."
ISO27001:2022-A.5.18,ISO27001:2022,5 Organizational controls,Access rights,"Access rights to information and other associated assets shall be provisioned, reviewed, modified and removed in accordance with the organization’s topic-specific policy on and rules for access control."
ISO27001:2022-A.5.19,ISO27001:2022,5 Organizational controls,Information security in supplier relationships,Processes and procedures shall be defined and implemented to manage the information security risks associated with the use of supplier’s products or services.
ISO27001:2022-A.5.20,ISO27001:2022,5 Organizational controls,Addressing information security within supplier agreements,Relevant information security requirements shall be established and agreed with each supplier based on the type of supplier relationship.
ISO27001:2022-A.5.21,ISO27001:2022,5 Organizational controls,Managing information security in the information and communication technology (ICT) supply chain,Processes and procedures shall be defined and implemented to manage the information security risks associated with the ICT products and services supply chain.
ISO27001:2022-A.5.22,ISO27001:2022,5 Organizational controls,"Monitoring, review and change management of supplier services","The organization shall regularly monitor, review, evaluate and manage change in supplier information security practices and service delivery."
ISO27001:2022-A.5.23,ISO27001:2022,5 Organizational controls,Information security for use of cloud services,"Processes for acquisition, use, management and exit from cloud services shall be established in accordance with the organization’s information security requirements."
ISO27001:2022-A.5.24,ISO27001:2022,5 Organizational controls,Information security incident management planning and preparation,"The organization shall plan and prepare for managing information security incidents by defining, establishing and communicating information security incident management processes, roles and responsibilities."
ISO27001:2022-A.5.25,ISO27001:2022,5 Organizational controls,Assessment and decision on information security events,The organization shall assess information security events and decide if they are to be categorized as information security incidents.
ISO27001:2022-A.5.26,ISO27001:2022,5 Organizational controls,Response to information security incidents,Information security incidents shall be responded to in accordance with the documented procedures.
ISO27001:2022-A.5.27,ISO27001:2022,5 Organizational controls,Learning from information security incidents,Knowledge gained from information security incidents shall be used to strengthen and improve the information security controls.
ISO27001:2022-A.5.28,ISO27001:2022,5 Organizational controls,Collection of evidence,"The organization shall establish and implement procedures for the identification, collection, acquisition and preservation of evidence related to information security events."
ISO27001:2022-A.5.29,ISO27001:2022,5 Organizational controls,Information security during disruption,The organization shall plan how to maintain information security at an appropriate level during disruption.
ISO27001:2022-A.5.30,ISO27001:2022,5 Organizational controls,ICT readiness for business continuity,"ICT readiness shall be planned, implemented, maintained and tested based on business continuity objectives and ICT continuity requirements."
ISO27001:2022-A.5.31,ISO27001:2022,5 Organizational controls,"Legal, statutory, regulatory and contractual requirements","Legal, statutory, regulatory and contractual requirements relevant to information security and the organization’s approach to meet these requirements shall be identified, documented and kept up to date."
ISO27001:2022-A.5.32,ISO27001:2022,5 Organizational controls,Intellectual property rights,The organization shall implement appropriate procedures to protect intellectual property rights.
ISO27001:2022-A.5.33,ISO27001:2022,5 Organizational controls,Protection of records,"Records shall be protected from loss, destruction, falsification, unauthorized access and unauthorized release."
ISO27001:2022-A.5.34,ISO27001:2022,5 Organizational controls,Privacy and protection of personal identifiable information (PII),The organization shall identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.
ISO27001:2022-A.5.35,ISO27001:2022,5 Organizational controls,Independent review of information security,"The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur."
ISO27001:2022-A.5.36,ISO27001:2022,5 Organizational controls,"Compliance with policies, rules and standards for information security","Compliance with the organization’s information security policy, topic-specific policies, rules and standards shall be regularly reviewed."
ISO27001:2022-A.5.37,ISO27001:2022,5 Organizational controls,Documented operating procedures,Operating procedures for information processing facilities shall be documented and made available to personnel who need them.
ISO27001:2022-A.6.1,ISO27001:2022,6 People controls,Screening,"Background verification checks on all candidates to become personnel shall be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks."
ISO27001:2022-A.6.2,ISO27001:2022,6 People controls,Terms and conditions of employment,The employment contractual agreements shall state the personnel’s and the organization’s responsibilities for information security.
ISO27001:2022-A.6.3,ISO27001:2022,6 People controls,"Information security awareness, education and training","Personnel of the organization and relevant interested parties shall receive appropriate information security awareness, education and training and regular updates of the organization's information security policy, topic-specific policies and procedures, as relevant for their job function."
ISO27001:2022-A.6.4,ISO27001:2022,6 People controls,Disciplinary process,A disciplinary process shall be formalized and communicated to take actions against personnel and other relevant interested parties who have committed an information security policy violation.
ISO27001:2022-A.6.5,ISO27001:2022,6 People controls,Responsibilities after termination or change of employment,"Information security responsibilities and duties that remain valid after termination or change of employment shall be defined, enforced and communicated to relevant personnel and other interested parties."
